キャラクターID,名前,ファイル名,たいりょく,こうげき,まもり,はやさ,KP,習得スキルリスト,赤,緑,青
0,プレイヤー,Player,3,1,0,9,0,ひっかく,255,255,255
1,サーバル,Serval,10,3,0,14,5,"ひっかく,つよくひっかく",255,255,0
2,アライグマ,Raccoon,7,2,0,12,5,ひっかく,197,197,197
3,フェネック,Fennec,7,2,0,13,5,ひっかく,255,255,191
4,カバ,Hippopotamus,40,7,1,12,5,ひっかく,152,0,0
5,トキ,,8,2,0,13,5,,255,255,255
6,アルパカ・スリ,,20,4,0,12,5,,255,255,255
7,コツメカワウソ,,7,2,0,12,5,,255,255,255
8,ジャガー,,27,5,0,14,5,,255,255,255
9,アメリカビーバー,,9,3,0,12,5,,255,255,255
10,オグロプレーリードッグ,,7,2,0,12,5,,255,255,255
11,ツチノコ,,7,1,0,11,5,,255,255,255
12,ライオン,,25,5,0,13,5,,255,255,255
13,ヘラジカ,,31,7,0,12,5,,255,255,255
14,ハシビロコウ,,16,2,0,11,5,,255,255,255
15,キタキツネ,,8,2,0,13,5,,255,255,255
16,ギンギツネ,,8,2,0,13,5,,255,255,255
17,ヒグマ,,28,6,1,13,5,,255,255,255
18,アフリカオオコノハズク,,7,1,0,13,5,,255,255,255
19,ワシミミズク,,8,2,0,13,5,,255,255,255
20,ロイヤルペンギン,,8,2,0,12,5,,255,255,255
21,コウテイペンギン,,13,3,0,12,5,,255,255,255
22,フンボルトペンギン,,7,2,0,12,5,,255,255,255
23,ジェンツーペンギン,,9,2,0,12,5,,255,255,255
24,イワトビペンギン,,7,2,0,12,5,,255,255,255
25,マーゲイ,,8,2,0,13,5,,255,255,255
26,アードウルフ,,8,3,0,13,5,,255,255,255
27,カラカル,,10,3,0,13,5,,255,255,255
28,パフィン,,7,1,0,12,5,,255,255,255
29,サバンナシマウマ,,24,5,0,13,5,,255,255,255
30,トムソンガゼル,,11,3,0,13,5,,255,255,255
31,ゼグロジャッカル,,9,3,0,13,5,,255,255,255
32,ハクトウワシ,,11,2,0,14,5,,255,255,255
33,コモドドラゴン,,20,4,1,12,5,,255,255,255
34,ピューマ,,17,4,0,13,5,,255,255,255
35,ヒメアリクイ,,7,1,0,11,5,,255,255,255
36,タイリクオオカミ,,20,4,0,13,5,,255,255,255
37,アミメキリン,,53,7,0,12,5,,255,255,255
38,チベットスナギツネ,,7,2,0,13,5,,255,255,255
39,ニホンカワウソ,,9,3,0,12,5,,255,255,255
40,オカピ,,25,5,0,12,5,,255,255,255
41,クジャク,,12,2,0,11,5,,255,255,255
42,ケツァール,,7,1,0,12,5,,255,255,255
43,コンゴウインコ,,9,1,0,12,5,,255,255,255
44,タスマニアデビル,,7,3,0,12,5,,255,255,255
45,フォッサ,,8,3,0,13,5,,255,255,255
46,マレーバク,,25,5,0,12,5,,255,255,255
47,キングコブラ,,30,2,0,12,5,,255,255,255
48,パンサーカメレオン,,7,1,0,11,5,,255,255,255
49,ジャイアントペンギン,,16,4,0,12,5,,255,255,255
50,キンシコウ,,8,3,0,12,5,,255,255,255
51,オオフラミンゴ,,14,2,0,12,5,,255,255,255
52,チーター,,15,4,0,15,5,,255,255,255
53,アカギツネ,,9,2,0,13,5,,255,255,255
54,アゴヒゲアザラシ,,26,5,0,12,5,,255,255,255
55,スナネコ,,7,2,0,13,5,,255,255,255
56,コヨーテ,,11,3,0,13,5,,255,255,255
57,G.ロードランナー,,7,1,0,14,5,,255,255,255
58,ヒメアルマジロ,,7,1,1,11,5,,255,255,255
59,ヒトコブラクダ,,31,6,0,12,5,,255,255,255
60,フタコブラクダ,,35,6,0,12,5,,255,255,255
61,オグロスナギツネ,,7,2,0,12,5,,255,255,255
62,オオミミギツネ,,7,2,0,12,5,,255,255,255
63,リカオン,,12,3,0,13,5,,255,255,255
64,エリマキトカゲ,,9,1,0,12,5,,255,255,255
65,ショウジョウトキ,,7,1,0,12,5,,255,255,255
66,ヌートリア,,7,2,0,12,5,,255,255,255
67,ミーアキャット,,7,1,0,12,5,,255,255,255
68,ヒョウ,,15,4,0,14,5,,255,255,255
69,クロヒョウ,,15,4,0,14,5,,255,255,255
70,ニホンオオカミ,,12,3,0,13,5,,255,255,255
71,マイルカ,,27,5,0,12,5,,255,255,255
72,シナウスイロイルカ,,28,5,0,12,5,,255,255,255
73,バンドウイルカ,,40,6,0,12,5,,255,255,255
74,カリフォルニアアシカ,,8,2,0,12,5,,255,255,255
75,シロナガスクジラ,,255,11,0,12,5,,255,255,255
76,オオウミガラス,,8,2,0,12,5,,255,255,255
77,イッカク,,47,9,0,12,5,,255,255,255
78,イロワケイルカ,,15,3,0,12,5,,255,255,255
79,アオツラカツオドリ,,10,2,0,12,5,,255,255,255
80,インドゾウ,,60,7,1,12,5,,255,255,255
81,モモイロペリカン,,16,2,0,12,5,,255,255,255
82,ケープペンギン,,7,2,0,12,5,,255,255,255
83,アカカンガルー,,16,4,0,12,5,,255,255,255
84,トラ,,28,5,0,13,5,,255,255,255
85,ジャイアントパンダ,,15,4,0,12,5,,255,255,255
86,アカミミガメ,,7,1,1,11,5,,255,255,255
87,ミナミコアリクイ,,9,2,0,12,5,,255,255,255
88,プチハイエナ,,17,4,0,13,5,,255,255,255
89,エトピリカ,,7,1,0,12,5,,255,255,255
90,タヌキ,,8,2,0,12,5,,255,255,255
91,ホッキョクグマ,,25,6,1,13,5,,255,255,255
92,カピバラ,,14,4,0,12,5,,255,255,255
93,ホッキョクウサギ,,7,2,0,13,5,,255,255,255
94,ホッキョクオオカミ,,10,4,0,13,5,,255,255,255
95,ホッキョクギツネ,,11,2,0,13,5,,255,255,255
96,ホワイトライオン,,25,5,0,13,5,,255,255,255
97,マンモス,,54,8,1,12,5,,255,255,255
98,トナカイ,,22,5,0,12,5,,255,255,255
99,ホラアナライオン,,24,5,0,13,5,,255,255,255
100,イボイノシシ,,15,5,0,13,5,,255,255,255
101,モリイノシシ,,21,5,0,13,5,,255,255,255
102,カルガモ,,7,2,0,12,5,,255,255,255
103,オオセンザンコウ,,9,3,1,12,5,,255,255,255
104,アリツカゲラ,,7,1,0,12,5,,255,255,255
105,ゴリラ,,18,5,0,12,5,,255,255,255
106,イリエワニ,,40,5,0,12,5,,255,255,255
107,プロングホーン,,15,4,0,13,5,,255,255,255
108,オオアルマジロ,,10,3,1,11,5,,255,255,255
109,イエイヌ(雑種),,8,3,0,12,5,,255,255,255
110,カンザシフウチョウ,,7,1,0,12,5,,255,255,255
111,カタカケフウチョウ,,7,1,0,12,5,,255,255,255
112,アムールトラ,,25,5,0,13,5,,255,255,255
113,ロバ,,22,5,0,12,5,,255,255,255
114,リョコウバト,,7,1,0,12,5,,255,255,255
115,アデリーペンギン,,7,2,0,12,5,,255,255,255
